songName,Artist Name,Popularity,Duration (s),url
Gonna Love Me,Teyana Taylor,73,166,../../are_and_be/GonnaLoveMe_TeyanaTaylor.mp3
Feels Like Summer,Childish Gambino,78,297,../../are_and_be/FeelsLikeSummer_ChildishGambino.mp3
Call Out My Name,The Weeknd,84,228,../../are_and_be/CallOutMyName_TheWeeknd.mp3
Trip,Ella Mai,78,217,../../are_and_be/Trip_EllaMai.mp3
Love Lies (with Normani),Khalid,87,201,../../are_and_be/LoveLieswithNormani_Khalid.mp3
In My Feelings,Drake,83,217,../../are_and_be/InMyFeelings_Drake.mp3
Know Myself,Justine Skye,70,167,../../are_and_be/KnowMyself_JustineSkye.mp3
The Light,MihTy,73,179,../../are_and_be/TheLight_MihTy.mp3
Could've Been (feat. Bryson Tiller),H.E.R.,75,248,../../are_and_be/CouldveBeenfeatBrysonTiller_HER.mp3
CPR,Summer Walker,66,203,../../are_and_be/CPR_SummerWalker.mp3
Wanna Be,The Internet,66,267,../../are_and_be/WannaBe_TheInternet.mp3
Easy,Next Town Down,65,182,../../are_and_be/Easy_NextTownDown.mp3
Boo'd Up,Ella Mai,84,256,../../are_and_be/BoodUp_EllaMai.mp3
After Dark,Drake,69,289,../../are_and_be/AfterDark_Drake.mp3
Come Through and Chill,Miguel,61,322,../../are_and_be/ComeThroughandChill_Miguel.mp3
OTW,Khalid,86,263,../../are_and_be/OTW_Khalid.mp3
SUMMER,The Carters,61,285,../../are_and_be/SUMMER_TheCarters.mp3
Lady Lady,Masego,65,158,../../are_and_be/LadyLady_Masego.mp3
All I Know,DaniLeigh,65,163,../../are_and_be/AllIKnow_DaniLeigh.mp3
Switch,6LACK,76,207,../../are_and_be/Switch_6LACK.mp3
Pony - Recorded at Spotify Studios NYC,Leon Bridges,66,256,../../are_and_be/PonyRecordedatSpotifyStudiosNYC_LeonBridges.mp3
I Like That,Janelle Mon??e,60,200,../../are_and_be/ILikeThat_JanelleMone.mp3
Happy Without Me,Chloe x Halle,67,206,../../are_and_be/HappyWithoutMe_ChloexHalle.mp3
This Way,Khalid,38,211,../../are_and_be/ThisWay_Khalid.mp3
Blue Lights,Jorja Smith,71,250,../../are_and_be/BlueLights_JorjaSmith.mp3
Don?????t Matter To Me,Drake,80,245,../../are_and_be/DontMatterToMe_Drake.mp3
Only Love,Mary J. Blige,60,226,../../are_and_be/OnlyLove_MaryJBlige.mp3
R.A.N.,Miguel,34,243,../../are_and_be/RAN_Miguel.mp3
Property (feat. Keke Palmer),TK Kravitz,61,193,../../are_and_be/PropertyfeatKekePalmer_TKKravitz.mp3
SUMMERTIME,Ne-Yo,59,174,../../are_and_be/SUMMERTIME_NeYo.mp3
Hurt To Look (feat. Rae Sremmurd),Swae Lee,32,256,../../are_and_be/HurtToLookfeatRaeSremmurd_SwaeLee.mp3
Medicine,Queen Naija,40,223,../../are_and_be/Medicine_QueenNaija.mp3
GOOD MAN,Ne-Yo,62,229,../../are_and_be/GOODMAN_NeYo.mp3
Best Part (feat. H.E.R.),Daniel Caesar,79,209,../../are_and_be/BestPartfeatHER_DanielCaesar.mp3
Sativa - Recorded at Spotify Studios NYC,Jhene Aiko,61,269,../../are_and_be/SativaRecordedatSpotifyStudiosNYC_JheneAiko.mp3
Doves In The Wind,SZA,69,266,../../are_and_be/DovesInTheWind_SZA.mp3
Make Luv,Brent Faiyaz,66,193,../../are_and_be/MakeLuv_BrentFaiyaz.mp3
Sky Walker - Recorded at Spotify Studios NYC,Miguel,60,184,../../are_and_be/SkyWalkerRecordedatSpotifyStudiosNYC_Miguel.mp3
Try Me,The Weeknd,75,221,../../are_and_be/TryMe_TheWeeknd.mp3
How Deep Is Your Love - Live,PJ Morton,63,210,../../are_and_be/HowDeepIsYourLoveLive_PJMorton.mp3
Love Me Right,Amber Mark,33,291,../../are_and_be/LoveMeRight_AmberMark.mp3
Ha Ha (I Love You),Jussie Smollett,56,204,../../are_and_be/HaHaILoveYou_JussieSmollett.mp3
Long As I Live,Toni Braxton,60,291,../../are_and_be/LongAsILive_ToniBraxton.mp3
Favorite,Leon Thomas,58,213,../../are_and_be/Favorite_LeonThomas.mp3
Addicted,VanJess,60,299,../../are_and_be/Addicted_VanJess.mp3
The Ways (with Swae Lee),Khalid,74,238,../../are_and_be/TheWayswithSwaeLee_Khalid.mp3
One Night Only,Sonder,64,195,../../are_and_be/OneNightOnly_Sonder.mp3
